Date,Open,High,Low,Close,Volume,Adj Close
2010-08-23,41.28001,41.70001,40.31002,40.42,5078700,5.61614
2010-08-20,43.00002,43.30003,38.69999,41.22999,8806900,5.72868
2010-08-19,44.44998,44.44998,42.91999,43.00002,11577800,5.97462
2010-08-18,44.10001,44.15004,43.27002,44.13003,7697600,6.13163
2010-08-17,43.54001,44.43997,43.17997,43.89998,7648200,6.09966
2010-08-16,42.95,44.00003,42.26001,43.70002,12353900,6.07188
2010-08-13,40.50998,43.19999,40.50998,42.88003,11768400,5.95795
2010-08-12,40.94999,41.48997,40.31002,40.58001,6470600,5.63837
2010-08-11,40.02001,41.14001,39.94998,40.96999,8523600,5.69256
2010-08-10,41.59002,41.88003,40.03002,40.20003,10482700,5.58558
2010-08-09,40.43001,42.32003,40.09998,41.48997,13795800,5.76481
2010-08-06,38.00999,40.53999,38.00999,40.53999,17978800,5.63281
2010-08-05,38.02,39.11999,37.97998,38.30,9831000,5.32158
2010-08-04,37.93002,38.38997,37.25003,38.02,8520900,5.28267
2010-08-03,39.64003,39.65997,38.16,38.20002,10092000,5.30769
2010-08-02,39.25999,39.65997,38.86,39.65997,9637700,5.51054
2010-07-30,38.51003,39.33002,38.51003,39.26999,9000200,5.45635
2010-07-29,38.69999,39.11999,38.20002,38.82998,9820900,5.39522
2010-07-28,37.99999,38.94997,37.58999,38.86,17238000,5.39939
2010-07-27,38.50003,40.49997,38.23997,38.50003,21067500,5.34937
2010-07-26,38.51997,39.95998,38.23003,39.35003,9760000,5.46747
2010-07-23,37.48001,37.99999,37.23003,37.92002,8023400,5.26878
2010-07-22,37.35001,37.80003,36.66002,37.40998,7853700,5.19791
2010-07-21,37.39004,38.87,37.08002,37.47001,9386900,5.20625
2010-07-20,35.41003,37.60,35.41003,36.90,8243800,5.12706
2010-07-19,34.98003,35.89999,34.93,35.41003,5258600,4.92003
2010-07-16,36.00998,36.41997,34.52001,34.80001,6024500,4.83527
2010-07-15,38.35002,38.35002,36.35001,36.38002,5768900,5.05481
2010-07-14,37.20001,38.53998,36.90,38.50003,7330500,5.34937
2010-07-13,37.84999,37.95997,35.99998,37.07001,6605100,5.15068
2010-07-12,37.56999,38.69999,37.56999,38.03,3854500,5.28406
2010-07-09,36.35001,38.30,36.29999,38.04001,5804100,5.28545
2010-07-08,39.18001,39.20002,35.89999,36.97997,8385700,5.13817
2010-07-07,38.00999,39.36004,38.00999,38.94997,3922800,5.41189
2010-07-06,36.97997,38.76002,36.49001,38.65997,3681400,5.37159
2010-07-05,36.99998,37.53004,36.00998,37.05001,2315900,5.1479
2010-07-02,38.94997,39.30001,35.89999,37.44999,6273900,5.20347
2010-07-01,40.06003,40.70,38.33001,38.47001,6265100,5.3452
2010-06-30,41.00001,41.99001,39.00,40.81999,5950800,5.67172
2010-06-29,45.99998,46.99998,42.00002,42.19998,5115900,5.86346
2010-06-28,46.84998,47.29999,44.99997,45.98997,4479100,6.39006
2010-06-25,49.64997,49.99,46.61,47.29999,6739700,6.57208
2010-06-24,49.66998,51.19997,49.30001,49.90002,5298400,6.93334
2010-06-23,49.90002,50.46002,48.60001,49.58001,3682100,6.88887
2010-06-22,48.79997,50.65998,48.36003,50.00,4030300,6.94723
2010-06-21,46.77001,49.32001,46.11003,48.82998,3694300,6.78466
2010-06-18,48.11998,48.74001,46.01999,46.77001,5355200,6.49844
2010-06-17,51.33004,51.97,48.00999,48.00999,7232500,6.67073
2010-06-11,51.20998,51.92998,50.71001,51.03003,4827300,7.09035
